example_id                                                             | status  | run_time               |
./embedded_player/aldi/default/track_spec.rb[1:1:1:1:1:3]              | passed  | 2.78 seconds           |
./embedded_player/aldi/default/track_spec.rb[1:1:1:1:1:4]              | passed  | 7.69 seconds           |
./embedded_player/aldi/genre/horizontal_spec.rb[1:1:1:1:1:1]           | passed  | 9.18 seconds           |
./embedded_player/aldi/genre/horizontal_spec.rb[1:1:1:1:1:2]           | passed  | 1.41 seconds           |
./embedded_player/aldi/genre/horizontal_spec.rb[1:1:1:1:1:3]           | passed  | 2.78 seconds           |
./embedded_player/aldi/genre/horizontal_spec.rb[1:1:1:1:1:4]           | passed  | 11.91 seconds          |
./embedded_player/aldi/genre/iab-rectangle_spec.rb[1:1:1:1:1:1]        | passed  | 8.96 seconds           |
./embedded_player/aldi/genre/iab-rectangle_spec.rb[1:1:1:1:1:2]        | passed  | 1.25 seconds           |
./embedded_player/aldi/genre/iab-rectangle_spec.rb[1:1:1:1:1:3]        | passed  | 2.72 seconds           |
./embedded_player/aldi/genre/iab-rectangle_spec.rb[1:1:1:1:1:4]        | passed  | 11.52 seconds          |
./embedded_player/aldi/genre/iab-skyscraper_spec.rb[1:1:1:1:1:1]       | passed  | 9.04 seconds           |
./embedded_player/aldi/genre/iab-skyscraper_spec.rb[1:1:1:1:1:2]       | passed  | 1.17 seconds           |
./embedded_player/aldi/genre/iab-skyscraper_spec.rb[1:1:1:1:1:3]       | passed  | 2.76 seconds           |
./embedded_player/aldi/genre/iab-skyscraper_spec.rb[1:1:1:1:1:4]       | passed  | 13.2 seconds           |
./embedded_player/aldi/genre/square_spec.rb[1:1:1:1:1:1]               | passed  | 11.36 seconds          |
./embedded_player/aldi/genre/square_spec.rb[1:1:1:1:1:2]               | passed  | 1.12 seconds           |
./embedded_player/aldi/genre/square_spec.rb[1:1:1:1:1:3]               | passed  | 2.96 seconds           |
./embedded_player/aldi/genre/square_spec.rb[1:1:1:1:1:4]               | passed  | 13.59 seconds          |
./embedded_player/aldi/genre/track_spec.rb[1:1:1:1:1:1]                | passed  | 12.06 seconds          |
./embedded_player/aldi/genre/track_spec.rb[1:1:1:1:1:2]                | passed  | 1.37 seconds           |
./embedded_player/aldi/genre/track_spec.rb[1:1:1:1:1:3]                | passed  | 2.81 seconds           |
./embedded_player/aldi/genre/track_spec.rb[1:1:1:1:1:4]                | passed  | 14.15 seconds          |
./embedded_player/aldi/playlist/horizontal_spec.rb[1:1:1:1:1:1]        | passed  | 10.27 seconds          |
./embedded_player/aldi/playlist/horizontal_spec.rb[1:1:1:1:1:2]        | passed  | 1.46 seconds           |
./embedded_player/aldi/playlist/horizontal_spec.rb[1:1:1:1:1:3]        | passed  | 2.79 seconds           |
./embedded_player/aldi/playlist/horizontal_spec.rb[1:1:1:1:1:4]        | passed  | 12.7 seconds           |
./embedded_player/aldi/playlist/iab-rectangle_spec.rb[1:1:1:1:1:1]     | passed  | 10.24 seconds          |
